Trade Date,X,Filing Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
2021-05-07,,2021-05-07 17:18:31,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,400.00",-18,"3,654",0%,"-$43,200"
2021-05-07,,2021-05-07 19:00:50,GOOG,Hennessy John L,Dir,S - Sale,"$2,405.72",-70,"4,318",-2%,"-$168,401"
2021-05-07,D,2021-05-10 16:51:26,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,357.28","-13,889",0,-100%,"-$32,740,259"
2021-05-07,D,2021-05-10 18:22:39,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,404.30","-13,889","19,214,646",0%,"-$33,393,259"
2021-05-05,D,2021-05-06 17:36:52,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,361.59","-3,000","168,938",-2%,"-$7,084,784"
2021-05-04,,2021-05-04 16:33:34,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,369.74",-30,"3,672",-1%,"-$71,092"
2021-05-03,,2021-05-03 17:03:01,GOOG,Mather Ann,Dir,S - Sale,"$2,402.16",-27,"1,771",-2%,"-$64,858"
2021-04-30,,2021-05-03 16:42:54,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$2,403.54","-1,385","70,443",-2%,"-$3,328,903"
2021-04-21,D,2021-04-22 16:00:22,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,279.93","-3,000","171,938",-2%,"-$6,839,782"
2021-04-07,D,2021-04-08 16:43:14,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,232.66","-3,000","174,938",-2%,"-$6,697,988"
2021-04-07,,2021-04-08 18:31:12,GOOG,Hennessy John L,Dir,S - Sale,"$2,243.44",-70,"4,388",-2%,"-$157,041"
2021-04-05,,2021-04-05 17:15:54,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,152.94","-2,524","40,100",-6%,"-$5,434,021"
2021-04-05,,2021-04-05 17:33:02,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,152.94",-30,"3,761",-1%,"-$64,588"
2021-04-01,,2021-04-01 19:42:35,GOOG,Mather Ann,Dir,S - Sale,"$2,099.99",-26,"1,797",-1%,"-$54,600"
2021-03-30,,2021-03-30 17:40:13,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$2,057.63","-1,385","66,973",-2%,"-$2,849,818"
2021-03-29,,2021-03-29 20:08:12,GOOG,Walker John Kent,"SVP, Global Affairs, CLO",S - Sale,"$2,037.34","-2,570","12,865",-17%,"-$5,235,973"
2021-03-17,D,2021-03-18 19:03:02,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,075.03","-3,000","181,666",-2%,"-$6,225,103"
2021-03-08,,2021-03-09 21:27:07,GOOG,Hennessy John L,Dir,S - Sale,"$2,083.46",-70,"4,419",-2%,"-$145,842"
2021-03-03,D,2021-03-03 21:59:16,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,068.50","-3,000","184,666",-2%,"-$6,205,492"
2021-03-02,,2021-03-03 17:18:58,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,076.19",-30,"3,850",-1%,"-$62,286"
2021-03-01,,2021-03-01 17:54:05,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$2,056.52","-1,385","72,054",-2%,"-$2,848,280"
2021-03-01,,2021-03-01 18:59:13,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,056.52","-1,199","45,010",-3%,"-$2,465,767"
2021-03-01,,2021-03-03 17:06:19,GOOG,Mather Ann,Dir,S - Sale,"$2,056.52",-26,"1,824",-1%,"-$53,470"
2021-02-08,,2021-02-10 21:34:52,GOOG,Hennessy John L,Dir,S - Sale,"$2,085.54",-70,"4,600",-1%,"-$145,988"
2021-02-02,,2021-02-03 16:42:55,GOOG,Mather Ann,Dir,S - Sale,"$1,922.56",-25,"3,349",-1%,"-$48,064"
2021-02-02,,2021-02-03 16:53:06,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,922.56",-30,"3,940",-1%,"-$57,677"
2021-02-01,,2021-02-02 13:03:10,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$1,852.09","-1,385","73,439",-2%,"-$2,565,145"
2021-01-05,,2021-01-06 12:13:42,GOOG,Hennessy John L,Dir,S - Sale,"$1,735.19",-60,"4,874",-1%,"-$104,111"
2021-01-05,,2021-01-06 12:19:10,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,725.00",-30,"4,029",-1%,"-$51,750"
2021-01-04,,2021-01-05 19:25:56,GOOG,Mather Ann,Dir,S - Sale,"$1,757.54",-52,"3,374",-2%,"-$91,392"
2020-12-30,,2020-12-30 16:59:36,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$1,762.01","-1,385","56,560",-2%,"-$2,440,384"
2020-12-30,,2020-12-31 11:58:13,GOOG,Walker John Kent,"SVP, Global Affairs, CLO",S - Sale,"$1,747.46","-2,498","43,444",-5%,"-$4,365,154"
2020-12-15,,2020-12-15 19:59:22,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,764.42",-30,"2,849",-1%,"-$52,933"
2020-12-07,,2020-12-08 20:05:08,GOOG,Hennessy John L,Dir,S - Sale,"$1,813.27",-55,"4,934",-1%,"-$99,730"
2020-12-01,,2020-12-01 17:25:20,GOOG,Mather Ann,Dir,S - Sale,"$1,774.37",-22,"3,426",-1%,"-$39,036"
2020-11-05,,2020-11-06 14:10:38,GOOG,Hennessy John L,Dir,S - Sale,"$1,766.62",-60,"4,989",-1%,"-$105,997"
2020-11-02,,2020-11-02 17:38:04,GOOG,Mather Ann,Dir,S - Sale,"$1,628.16",-20,"3,448",-1%,"-$32,563"
2020-10-05,,2020-10-05 18:50:24,GOOG,Hennessy John L,Dir,S - Sale,"$1,473.43",-60,"5,049",-1%,"-$88,406"
2020-10-01,,2020-10-01 19:49:27,GOOG,Mather Ann,Dir,S - Sale,"$1,484.27",-22,"3,468",-1%,"-$32,654"
2020-09-08,,2020-09-09 21:08:45,GOOG,Hennessy John L,Dir,S - Sale,"$1,538.29",-60,"5,109",-1%,"-$92,297"
2020-09-01,,2020-09-02 14:48:18,GOOG,Mather Ann,Dir,S - Sale,"$1,635.90",-20,"3,490",-1%,"-$32,718"
2020-08-05,,2020-08-05 18:21:35,GOOG,Hennessy John L,Dir,S - Sale,"$1,481.85",-60,"5,169",-1%,"-$88,911"
2020-08-03,,2020-08-04 17:34:47,GOOG,Mather Ann,Dir,S - Sale,"$1,486.64",-21,"3,510",-1%,"-$31,219"
2020-07-06,,2020-07-07 20:39:10,GOOG,Hennessy John L,Dir,S - Sale,"$1,495.85",-60,"4,268",-1%,"-$89,751"
2020-07-01,,2020-07-02 14:38:18,GOOG,Mather Ann,Dir,S - Sale,"$1,411.10",-32,"3,531",-1%,"-$45,155"
2020-06-05,,2020-06-05 21:33:58,GOOG,Hennessy John L,Dir,S - Sale,"$1,434.85",-60,"4,939",-1%,"-$86,091"
2020-06-01,,2020-06-01 13:04:57,GOOG,Mather Ann,Dir,S - Sale,"$1,418.39",-32,"3,318",-1%,"-$45,388"
2020-05-05,,2020-05-05 20:24:35,GOOG,Hennessy John L,Dir,S - Sale,"$1,363.61",-60,"5,349",-1%,"-$81,816"
2020-05-01,,2020-05-04 12:56:29,GOOG,Mather Ann,Dir,S - Sale,"$1,328.50",-30,"3,350",-1%,"-$39,855"
2020-04-07,,2020-04-08 16:57:42,GOOG,Hennessy John L,Dir,S - Sale,"$1,221.84",-15,"5,409",0%,"-$18,328"
2020-04-06,,2020-04-06 21:14:09,GOOG,Hennessy John L,Dir,S - Sale,"$1,151.24",-45,"5,424",-1%,"-$51,806"
2020-04-02,,2020-04-03 12:34:20,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,098.26",-61,"3,358",-2%,"-$66,994"
2020-04-01,,2020-04-02 15:26:30,GOOG,Mather Ann,Dir,S - Sale,"$1,121.18",-34,"3,380",-1%,"-$38,120"
2020-03-03,,2020-03-03 19:25:30,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,397.68",-61,"3,479",-2%,"-$85,258"
2020-03-03,M,2020-03-05 20:02:30,GOOG,Hennessy John L,Dir,S - Sale,"$1,339.26",-60,"5,469",-1%,"-$80,355"
2020-03-02,,2020-03-02 19:38:47,GOOG,Mather Ann,Dir,S - Sale,"$1,352.66",-31,"3,414",-1%,"-$41,932"
2020-02-05,,2020-02-07 16:17:18,GOOG,Hennessy John L,Dir,S - Sale,"$1,440.84",-60,"5,529",-1%,"-$86,451"
2020-02-04,,2020-02-04 20:20:55,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,457.16",-60,"3,600",-2%,"-$87,430"
2020-02-03,,2020-02-04 19:38:24,GOOG,Mather Ann,Dir,S - Sale,"$1,459.40",-31,"3,445",-1%,"-$45,241"
2020-01-07,,2020-01-07 16:31:56,GOOG,Mather Ann,Dir,S - Sale,"$1,400.04",-654,"3,476",-16%,"-$915,629"
2020-01-06,,2020-01-06 20:01:40,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,350.56",-55,"2,284",-2%,"-$74,281"
2020-01-02,,2020-01-02 15:21:46,GOOG,Mather Ann,Dir,S - Sale,"$1,341.55",-32,"4,130",-1%,"-$42,930"
2020-01-02,D,2020-01-02 18:41:36,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,358.81","-28,429",0,-100%,"-$38,629,705"
2020-01-02,D,2020-01-02 20:14:44,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,356.89","-28,429","67,333",-30%,"-$38,575,069"
2019-12-03,,2019-12-03 17:50:02,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,279.57",-55,"2,394",-2%,"-$70,376"
2019-12-02,D,2019-12-02 20:24:59,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,289.62","-56,860","72,820",-44%,"-$73,327,679"
2019-12-02,,2019-12-02 21:57:07,GOOG,Mather Ann,Dir,S - Sale,"$1,300.50",-31,"4,162",-1%,"-$40,316"
2019-11-04,,2019-11-04 17:33:08,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,276.45",-54,"2,504",-2%,"-$68,928"
2019-11-01,M,2019-11-04 17:14:45,GOOG,Mather Ann,Dir,S - Sale,"$1,272.63",-75,"4,193",-2%,"-$95,448"
2019-11-01,D,2019-11-04 19:59:00,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,266.00","-28,430","2,090",-93%,"-$35,992,360"
2019-11-01,D,2019-11-04 20:50:15,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,266.89","-28,430","70,730",-29%,"-$36,017,718"
2019-10-02,,2019-10-02 20:10:19,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,195.00",-55,"2,613",-2%,"-$65,725"
2019-10-01,D,2019-10-01 17:14:30,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,220.75","-1,600","72,820",-2%,"-$1,953,200"
2019-10-01,,2019-10-01 17:29:13,GOOG,Mather Ann,Dir,S - Sale,"$1,219.01",-25,"4,268",-1%,"-$30,475"
2019-09-27,,2019-09-30 15:12:28,GOOG,Hennessy John L,Dir,S - Sale,"$1,227.77",-75,"5,589",-1%,"-$92,083"
2019-09-05,,2019-09-05 17:05:07,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,191.53",-54,"2,723",-2%,"-$64,343"
2019-09-05,,2019-09-05 18:32:37,GOOG,Hennessy John L,Dir,S - Sale,"$1,200.00",-75,"5,664",-1%,"-$90,000"
2019-09-03,,2019-09-03 21:07:00,GOOG,Mather Ann,Dir,S - Sale,"$1,177.03",-24,"4,293",-1%,"-$28,249"
2019-09-03,D,2019-09-05 19:25:41,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,179.44","-1,600","74,122",-2%,"-$1,887,104"
2019-08-02,,2019-08-05 14:37:52,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$1,200.74",-55,"2,832",-2%,"-$66,041"
2019-08-01,D,2019-08-02 16:24:21,GOOG,Drummond David C,"SVP, Corporate Development",S - Sale+OE,"$1,215.39","-1,600","74,122",-2%,"-$1,944,616"
2019-08-01,,2019-08-02 17:07:18,GOOG,Mather Ann,Dir,S - Sale,"$1,213.14",-27,"4,317",-1%,"-$32,755"
2019-07-29,,2019-07-31 10:52:43,GOOG,Hennessy John L,Dir,S - Sale,"$1,238.57",-75,"5,739",-1%,"-$92,893"
2023-06-21,M,2023-06-23 16:33:16,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$126.89,"-1,000","151,763",-1%,"-$126,891"
2023-06-06,M,2023-06-08 16:33:37,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$124.95,"-1,000","152,763",-1%,"-$124,951"
2023-06-01,,2023-06-05 16:34:37,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$120.61,"-4,000","574,855",-1%,"-$482,440"
2023-05-22,D,2023-05-23 19:32:27,AMZN,Reynolds Shelley,VP,S - Sale+OE,$115.60,"-3,100","122,436",-2%,"-$358,353"
2023-05-22,DM,2023-05-23 19:35:19,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,$115.36,"-4,120","153,763",-3%,"-$475,301"
2023-05-22,D,2023-05-23 19:38:38,AMZN,Zapolsky David,SVP,S - Sale+OE,$115.56,"-6,720","97,116",-6%,"-$776,586"
2023-05-22,D,2023-05-23 19:42:30,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,$116.69,"-16,800","50,519",-25%,"-$1,960,392"
2023-05-22,D,2023-05-23 19:46:29,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale+OE,$115.56,"-9,472","578,853",-2%,"-$1,094,610"
2023-05-22,D,2023-05-23 19:49:29,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,$115.37,"-21,925","2,073,049",-1%,"-$2,529,446"
2023-05-15,D,2023-05-17 16:37:13,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale+OE,$110.39,"-3,864","564,645",-1%,"-$426,549"
2023-05-15,DM,2023-05-17 16:40:35,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,$110.47,"-11,260","150,103",-7%,"-$1,243,914"
2023-05-04,M,2023-05-08 17:08:35,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$104.68,"-1,020","135,743",-1%,"-$106,776"
2023-05-01,,2023-05-03 16:14:30,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$105.00,"-4,000","558,847",-1%,"-$420,000"
2023-04-19,M,2023-04-21 18:06:47,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$103.97,"-1,020","136,763",-1%,"-$106,048"
2023-04-04,M,2023-04-06 16:42:46,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$102.41,"-1,020","137,783",-1%,"-$104,461"
2023-04-03,,2023-04-05 16:37:15,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$102.25,"-4,000","1,052,728",0%,"-$409,000"
2023-03-21,,2023-03-23 16:39:57,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$100.34,"-2,299","138,803",-2%,"-$230,691"
2023-03-01,,2023-03-03 16:26:07,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$93.80,"-4,000","1,056,717",0%,"-$375,200"
2023-02-21,D,2023-02-23 17:38:13,AMZN,Reynolds Shelley,VP,S - Sale+OE,$94.91,"-3,500","122,436",-3%,"-$332,191"
2023-02-21,D,2023-02-23 17:47:02,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,$95.25,"-16,760","50,468",-25%,"-$1,596,390"
2023-02-21,D,2023-02-23 17:55:07,AMZN,Zapolsky David,SVP,S - Sale+OE,$94.91,"-6,704","87,036",-7%,"-$636,258"
2023-02-21,,2023-02-23 18:05:50,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$94.90,"-7,456","1,060,717",-1%,"-$707,543"
2023-02-15,,2023-02-17 17:13:43,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$99.18,"-15,787","1,068,173",-1%,"-$1,565,676"
2023-02-15,DM,2023-02-17 17:22:27,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,$99.23,"-12,561","141,102",-8%,"-$1,246,451"
2023-02-15,D,2023-02-17 17:29:12,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,$99.15,"-23,874","2,039,863",-1%,"-$2,367,061"
2023-02-06,,2023-02-08 16:37:48,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$102.90,"-4,000","1,083,960",0%,"-$411,600"
2023-02-02,M,2023-02-06 16:44:00,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$110.95,"-5,600","124,163",-4%,"-$621,325"
2022-11-21,D,2022-11-23 16:22:31,AMZN,Reynolds Shelley,VP,S - Sale+OE,$94.00,"-3,500","122,436",-3%,"-$329,000"
2022-11-21,D,2022-11-23 16:28:54,AMZN,Zapolsky David,SVP,S - Sale+OE,$94.00,"-8,380","76,980",-10%,"-$787,720"
2022-11-21,D,2022-11-23 16:35:21,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,$94.00,"-15,240","50,462",-23%,"-$1,432,560"
2022-11-21,,2022-11-23 16:49:52,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$94.00,"-7,456","1,087,957",-1%,"-$700,864"
2022-11-17,D,2022-11-17 16:41:14,AMZN,Huttenlocher Daniel P,Dir,S - Sale+OE,$95.70,"-1,720","22,440",-7%,"-$164,599"
2022-11-15,D,2022-11-17 17:01:33,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,$101.46,"-12,995","129,763",-9%,"-$1,318,506"
2022-11-15,D,2022-11-17 17:08:08,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,$101.46,"-23,620","2,003,731",-1%,"-$2,396,584"
2022-11-15,,2022-11-17 17:22:20,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$103.10,"-15,787","1,095,413",-1%,"-$1,627,640"
2022-11-01,,2022-11-03 17:30:28,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$102.00,-345,"113,278",0%,"-$35,190"
2022-10-17,M,2022-10-19 16:48:08,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$114.38,"-1,020","113,623",-1%,"-$116,670"
2022-09-29,M,2022-10-03 16:41:23,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$114.77,"-1,020","114,643",-1%,"-$117,066"
2022-09-14,M,2022-09-16 17:12:07,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$127.94,"-1,020","115,663",-1%,"-$130,499"
2022-08-30,M,2022-09-01 16:58:32,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,$128.60,"-1,020","116,683",-1%,"-$131,170"
2022-08-22,D,2022-08-23 17:25:56,AMZN,Reynolds Shelley,VP,S - Sale+OE,$134.23,"-3,480","122,436",-3%,"-$467,125"
2022-08-22,D,2022-08-23 17:31:47,AMZN,Zapolsky David,SVP,S - Sale+OE,$134.25,"-8,360","68,620",-11%,"-$1,122,351"
2022-08-22,D,2022-08-23 17:37:46,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,$135.55,"-16,720","48,962",-25%,"-$2,266,396"
2022-08-22,,2022-08-23 17:50:33,AMZN,Herrington Douglas J,CEO Worldwide Amazon Stores,S - Sale,$134.25,"-7,448","1,111,194",-1%,"-$999,873"
2022-08-16,,2022-08-17 16:37:19,AMZN,Zapolsky David,SVP,S - Sale,$145.01,"-10,480","60,260",-15%,"-$1,519,688"
2022-08-15,DM,2022-08-17 16:46:00,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,$142.41,"-12,820","117,703",-10%,"-$1,825,634"
2022-08-15,D,2022-08-17 16:53:14,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,$142.29,"-23,620","1,967,343",-1%,"-$3,360,817"
2022-05-23,D,2022-05-24 16:41:38,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$2,169.22",-173,"6,122",-3%,"-$375,275"
2022-05-23,D,2022-05-24 16:49:20,AMZN,Zapolsky David,SVP,S - Sale+OE,"$2,169.22",-418,"3,537",-11%,"-$906,734"
2022-05-23,D,2022-05-24 16:56:14,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$2,169.22",-761,"2,447",-24%,"-$1,650,776"
2022-05-23,D,2022-05-24 17:04:50,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$2,169.22","-2,270","7,265",-24%,"-$4,924,129"
2022-05-16,D,2022-05-17 16:49:47,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale+OE,"$2,262.00",-590,"5,052",-10%,"-$1,334,580"
2022-05-16,D,2022-05-17 16:58:04,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$2,262.00","-1,181","96,548",-1%,"-$2,671,422"
2022-03-30,M,2022-04-01 16:45:11,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,348.08",-69,"22,296",0%,"-$231,017"
2022-03-18,,2022-03-22 16:17:33,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,200.00",-344,"22,365",-2%,"-$1,100,800"
2022-02-22,D,2022-02-23 16:40:40,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,009.57",-137,"4,130",-3%,"-$412,311"
2022-02-22,D,2022-02-23 16:52:59,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$3,009.57",-492,"94,729",-1%,"-$1,480,708"
2022-02-15,D,2022-02-17 17:01:17,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$3,150.92",-222,"6,122",-3%,"-$699,504"
2022-02-15,D,2022-02-17 17:08:31,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$3,150.92",-910,"2,372",-28%,"-$2,867,337"
2022-02-15,DM,2022-02-17 17:15:05,AMZN,Zapolsky David,SVP,S - Sale+OE,"$3,146.85","-1,199","3,119",-28%,"-$3,773,073"
2022-02-15,D,2022-02-17 17:23:23,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,150.92","-1,027","4,077",-20%,"-$3,235,995"
2022-02-15,D,2022-02-17 17:29:56,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$3,150.92",-848,"93,971",-1%,"-$2,671,980"
2022-02-15,,2022-02-17 17:45:27,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,150.92",-679,"22,709",-3%,"-$2,139,475"
2022-01-05,M,2022-01-07 16:24:08,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,303.34",-69,"23,388",0%,"-$227,930"
2021-12-20,M,2021-12-22 17:15:46,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,347.15",-69,"23,457",0%,"-$230,953"
2021-12-02,M,2021-12-06 16:51:10,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,457.46",-69,"23,526",0%,"-$238,565"
2021-11-22,D,2021-11-23 16:29:46,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,676.00",-105,"3,678",-3%,"-$385,980"
2021-11-22,D,2021-11-23 16:36:24,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$3,676.00",-492,"92,664",-1%,"-$1,808,592"
2021-11-18,,2021-11-19 16:23:50,AMZN,Huttenlocher Daniel P,Dir,S - Sale,"$3,563.61",-86,"1,036",-8%,"-$306,470"
2021-11-18,,2021-11-19 16:27:37,AMZN,Rubinstein Jonathan,Dir,S - Sale,"$3,700.00",-271,"6,072",-4%,"-$1,002,700"
2021-11-15,D,2021-11-17 18:23:00,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$3,537.00",-222,"6,122",-3%,"-$785,214"
2021-11-15,D,2021-11-17 18:27:42,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$3,537.00",-910,"2,222",-29%,"-$3,218,670"
2021-11-15,DM,2021-11-17 18:31:45,AMZN,Zapolsky David,SVP,S - Sale+OE,"$3,540.53","-1,093","3,361",-25%,"-$3,869,794"
2021-11-15,D,2021-11-17 18:35:32,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,537.00",-785,"3,593",-18%,"-$2,776,545"
2021-11-15,D,2021-11-17 18:40:49,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$3,535.64",-848,"91,906",-1%,"-$2,998,227"
2021-11-15,M,2021-11-17 18:51:31,AMZN,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,534.94",-746,"23,595",-3%,"-$2,637,062"
2021-11-04,,2021-11-05 16:42:53,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,406.40","-9,480","50,211,644",0%,"-$32,292,708"
2021-11-04,,2021-11-05 16:48:59,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,454.09","-37,345","50,174,299",0%,"-$128,993,086"
2021-11-04,,2021-11-05 16:55:46,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,485.57","-32,700","50,141,599",0%,"-$113,978,276"
2021-11-03,,2021-11-05 16:19:28,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,317.10","-172,140","50,361,009",0%,"-$571,005,053"
2021-11-03,,2021-11-05 16:27:21,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,350.45","-67,430","50,293,579",0%,"-$225,920,622"
2021-11-03,M,2021-11-05 16:34:49,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,381.41","-72,455","50,221,124",0%,"-$245,000,304"
2021-11-02,,2021-11-03 17:09:59,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,319.45","-50,034","50,533,149",0%,"-$166,085,277"
2021-11-01,,2021-11-03 16:47:32,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,307.76","-126,168","51,015,431",0%,"-$417,333,654"
2021-11-01,,2021-11-03 16:55:39,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,337.97","-176,457","50,838,974",0%,"-$589,008,859"
2021-11-01,M,2021-11-03 17:03:21,AMZN,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,300.26","-255,791","50,583,183",-1%,"-$844,175,564"
2021-09-01,,2021-09-02 17:49:10,AMZN,Rubinstein Jonathan,Dir,S - Sale,"$3,500.00",-286,"6,171",-4%,"-$1,001,000"
2021-08-23,D,2021-08-24 16:41:24,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,211.90",-105,"2,952",-3%,"-$337,250"
2021-08-23,D,2021-08-24 16:49:38,AMZN,Jassy Andrew R,"Pres, CEO",S - Sale+OE,"$3,211.90",-492,"90,601",-1%,"-$1,580,255"
